"complaint_case_id","case_status","priority","case_opened_ts","case_closed_ts","resolution_hours","customer_id","customer_name","customer_contact","customer_phone","customer_email","customer_site","service_contract","machine_id","machine_serial","machine_model","operation_code","operation_name","run_id","fault_category","error_code_triggered","vibration_severity_score","failure_mode","failure_mode_detail","sensor_x_rms","sensor_y_rms","sensor_z_rms","sensor_x_crest","sensor_kurtosis","phone_call_notes","assigned_technician","assigned_fe","investigation_notes","remedy_notes","rma_required","rma_number","rma_type","rma_description","rma_disposition","rma_credit_issued","parts_cost_usd","labour_hours","billable","linked_error_codes","linked_run_id","source"
"CMP-2019-1000","ESCALATED","P4-LOW","21 Aug 2019 11:34","","","CUST-001","Precision Parts Midwest LLC","Dave Kowalski","(312) 555-0142","dkowalski@precisionmidwest.com","Chicago, IL","GOLD","M01","EIQ-M01-2019-4280","VMC-3000","OP01","Face Milling","M01_Aug_2019_OP01_000","tool_wear","SPN-MN-001","3.152","Tool Wear","Progressive cutting edge wear beyond service life","447.87","230.68","1062.79","5.421","2.278","Inbound call from Dave Kowalski at Precision Parts Midwest LLC. Reports intermittent spindle load spikes on M01 over the past 3 shifts. Error SPN-MN-001 appearing 4–6 times per shift, machine not stopping but operator applying feed override down to 70%. Surface finish on aluminium parts showing chatter marks. Customer believes tool is worn but wants confirmation before scrapping tooling. Last PM was 8 weeks ago.","Chen, L.","","Remote diagnostic session conducted with Chen, L.. Reviewed P002 spindle load trend via OPC-UA historian — clear monotonic increase over prior 50 cycles consistent with progressive flank wear. NDCG feature trend confirms tool_wear classification. Kurtosis P064 = 2.3 (normal range 2.5–5.0). Recommended immediate tool replacement. Advised customer to calibrate tool life counter to actual tool life rather than theoretical. No machine fault — tooling and process issue. Error code SPN-MN-001 confirmed appropriate.","No machine repair required. Customer coaching on tool life management completed by Brennan, K. (FE-15). Provided updated tooling recommendation for Face Milling on aluminium: increase feed rate by 10%, reduce depth of cut by 15%, change tool grade to uncoated carbide. New parameters tested and validated. Surface finish improved to Ra 0.6 μm. Case closed — no charge under GOLD service contract.","NO","","","","","","0","2.2","NO","SPN-MN-001","M01_Aug_2019_OP01_000","bosch_real_fault"
"CMP-2019-1001","CLOSED","P4-LOW","24 Feb 2019 13:10","26 Feb 2019 21:10","78","CUST-002","AeroMach Industries","Sandra Okonkwo","(714) 555-0287","sokonkwo@aeromach.com","Anaheim, CA","PLATINUM","M01","EIQ-M01-2019-4753","VMC-3000","OP01","Face Milling","M01_Feb_2019_OP01_000","tool_wear","SPN-WN-001","3.364","Tool Wear","Progressive cutting edge wear beyond service life","457.53","179.1","1061.41","5.149","2.968","Customer AeroMach Industries called — M01 threw hard alarm SPN-WN-001 mid-program during Face Milling. Spindle load P002 peaked at 4.58% before drive tripped. Tool T2 found broken in spindle bore — approx 40mm of flute snapped. Last good part passed inspection; current part scrapped. Customer asking about warranty on tooling and whether machine caused the breakage or vice versa.","Williams, S.","","Remote diagnostic session conducted with Williams, S.. Reviewed P002 spindle load trend via OPC-UA historian — clear monotonic increase over prior 50 cycles consistent with progressive flank wear. NDCG feature trend confirms tool_wear classification. Kurtosis P064 = 3.0 (normal range 2.5–5.0). Recommended immediate tool replacement. Advised customer to calibrate tool life counter to actual tool life rather than theoretical. No machine fault — tooling and process issue. Error code SPN-WN-001 confirmed appropriate.","No machine repair required. Customer coaching on tool life management completed by Lee, S. (FE-12). Provided updated tooling recommendation for Face Milling on aluminium: increase feed rate by 10%, reduce depth of cut by 15%, change tool grade to uncoated carbide. New parameters tested and validated. Surface finish improved to Ra 0.6 μm. Case closed — no charge under GOLD service contract.","NO","","","","","","0","2.8","NO","SPN-WN-001","M01_Feb_2019_OP01_000","bosch_real_fault"
"CMP-2019-1002","CLOSED","P3-MEDIUM","24 Feb 2019 21:52","26 Feb 2019 11:52","11","CUST-003","Lone Star Machining Co.","Billy Ray Tanner","(214) 555-0391","brtanner@lonestarmach.com","Dallas, TX","SILVER","M01","EIQ-M01-2019-8555","VMC-3000","OP02","Contour Milling","M01_Feb_2019_OP02_000","tool_wear","SPN-SR-001","3.488","Tool Wear","Progressive cutting edge wear beyond service life","409.19","400.8","1061.16","5.508","2.913","Inbound call from Billy Ray Tanner at Lone Star Machining Co.. Reports intermittent spindle load spikes on M01 over the past 3 shifts. Error SPN-SR-001 appearing 4–6 times per shift, machine not stopping but operator applying feed override down to 70%. Surface finish on aluminium parts showing chatter marks. Customer believes tool is worn but wants confirmation before scrapping tooling. Last PM was 14 weeks ago.","Novak, P.","","Technical investigation by Novak, P.. Downloaded vibration data from Bosch CISS sensor for run_id M01_Feb_2019_OP02_000. X-axis RMS = 409 (units: ADC counts), crest factor 5.51. Pattern consistent with increased cutting forces from worn tool. Compared against M01 baseline from Aug 2019 — load elevated by 21%. No bearing defect frequency components detected in spectrum. Root cause confirmed: tool wear beyond service life. No warranty claim applicable.","Recommended process change: implement tool condition monitoring via spindle load P002 trending. Set adaptive alarm at +25% above baseline load for each operation. Customer's process engineer will configure alarm thresholds in next maintenance window. No machine parts replaced. Case closed.","NO","","","","","","0","3.1","YES","SPN-SR-001","M01_Feb_2019_OP02_000","bosch_real_fault"
"CMP-2019-1003","CLOSED","P2-HIGH","28 Aug 2019 11:04","02 Sep 2019 20:04","54","CUST-004","Great Lakes Tool & Die","Marie Johansson","(313) 555-0448","mjohansson@gltd.com","Detroit, MI","GOLD","M01","EIQ-M01-2019-1494","VMC-3000","OP03","Pocket Milling","M01_Aug_2019_OP03_000","chatter_vibration","SPN-MJ-004","3.96","Chatter Vibration","Regenerative chatter — process outside stability lobe","349.62","233.65","1058.64","6.95","2.825","Customer Great Lakes Tool & Die calling about part quality issue on M01. Surface finish failing inspection — visible chatter marks at 6.95 micron Ra vs. 0.8 Ra specified. Alarm SPN-MJ-004 logged. Customer has already tried reducing feed rate by 20% but chatter persists. Process was stable for 3 months then started last week. No recent tooling changes. Machine M01 S/N EIQ-M01-2019-1494. Marie Johansson is the shift supervisor.","Chen, L.","","Field engineer Brennan, K. (FE-15) attended site. Found toolholder taper dirty — significant fretting corrosion on HSK taper mating surface reducing contact stiffness. Fixture clamping hydraulic pressure measured at 7 bar (nominal 70 bar) — leak in fixture circuit reducing clamping force. Two independent causes both contributing to chatter. Taper cleaned and re-ground; hydraulic circuit repaired. Machine re-tested: chatter eliminated at standard parameters. Machine in good condition.","Variable pitch tooling (4-flute, pitch 30/32/34/36°) recommended and sourced by customer. New toolholder balanced to G2.5 at 12,000 RPM. Re-test with new tooling: chatter eliminated, Ra improved to 0.7 μm. Machine in good condition. Closed — no charge.","NO","","","","","","0","5.6","NO","SPN-MJ-004","M01_Aug_2019_OP03_000","bosch_real_fault"
"CMP-2019-1004","CLOSED","P2-HIGH","28 Aug 2019 07:05","02 Sep 2019 16:05","102","CUST-005","Pacific Rim Precision","Kevin Tanaka","(206) 555-0512","ktanaka@pacrimprec.com","Seattle, WA","PLATINUM","M01","EIQ-M01-2019-1615","VMC-3000","OP04","Drilling Cycle","M01_Aug_2019_OP04_000","spindle_bearing_fault","SPN-MJ-001","3.746","Spindle Bearing Fault","Bearing race or rolling element fatigue defect","428.46","300.11","1065.9","5.576","3.743","Pacific Rim Precision reporting M01 spindle temperature P003 running high at 5.58°C. Spindle cooling fan appears to be making intermittent noise — possibly bearing in fan motor. Alarm SPN-MJ-001 active. Customer asking if they can continue running at reduced spindle speed while awaiting parts. Current part schedule is critical path.","Novak, P.","Brennan, K. (FE-15)","Investigation by Novak, P.. Pulled Bosch CISS historical data for M01 OP04. Crest factor trend showed gradual increase from 3.2 to 5.6 over 90 days before alarm. Kurtosis crossed early-warning threshold (8.0) approximately 7 days before customer called — alarm SPN-SR-003 was generated but apparently not actioned by customer maintenance team. Investigation highlights need for customer to review alarm log regularly. Machine performed as designed.","Spindle bearing set replaced on-site by Brennan, K. (FE-15). Parts used: 2× 7014 CDBP4 angular contact bearings (PN: EIQ-SPN-BRG-7014, batch BRG-71114), 1× NU1014 rear bearing (PN: EIQ-SPN-BRG-NU1014). Bearings installed with correct preload per EIQ-PROC-SPN-001. Spindle warmed up per SPD-WARMUP-001 (15 min). Acceptance vibration test run: P004 = 2.24 mm/s (Zone A — pass). Machine returned to production. Labour: 6.2 h. Parts charged to customer (bearing set outside warranty — 19 months in service).","YES","RMA-52774","DRIVE_WARRANTY","Servo drive returned under warranty claim — internal IGBT failure","Drive tested at factory — confirmed IGBT module failure. Within 24-month warranty period. Full replacement issued at no charge.","YES","686","6.2","NO","SPN-MJ-001","M01_Aug_2019_OP04_000","bosch_real_fault"
"CMP-2019-1005","ESCALATED","P1-CRITICAL","21 Feb 2019 19:53","","","CUST-006","Appalachian Machine Works","Bobby Hicks","(423) 555-0667","bhicks@appmach.com","Knoxville, TN","STANDARD","M01","EIQ-M01-2019-5479","VMC-3000","OP04","Drilling Cycle","M01_Feb_2019_OP04_000","spindle_bearing_fault","SPN-CR-001","4.03","Spindle Bearing Fault","Bearing race or rolling element fatigue defect","441.15","220.75","1065.68","5.114","3.206","Call received from Bobby Hicks. M01 has been showing progressive vibration increase on spindle bearing sensor P004 over the past 2 weeks — operator noticed noise change but kept running. Now at 5.11 mm/s RMS, alarm SPN-CR-001 active. Customer asks if bearing can be replaced on-site or if spindle needs to go to depot. Machine hours: approx 1669h on current bearing set. Last grease service: 5 months ago.","Kumar, R.","Torres, R. (FE-09)","Investigation by Kumar, R.. Pulled Bosch CISS historical data for M01 OP04. Crest factor trend showed gradual increase from 3.2 to 5.1 over 90 days before alarm. Kurtosis crossed early-warning threshold (8.0) approximately 8 days before customer called — alarm SPN-SR-003 was generated but apparently not actioned by customer maintenance team. Investigation highlights need for customer to review alarm log regularly. Machine performed as designed.","Spindle cooling fan motor replaced (PN: EIQ-SPN-FAN-200L). Air filter cleaned — found 60% blocked. Post-repair spindle temperature P003 running at 53°C vs. 74°C pre-repair. Machine re-qualified. Advised customer to add fan inspection to monthly PM checklist. No charge under PLATINUM service contract.","YES","RMA-56773","SENSOR_WARRANTY","Bosch CISS accelerometer suspected fault — reading zero on Z-axis","Sensor tested at calibration lab. Confirmed Z-axis MEMS element failure. Replaced under manufacturer warranty. New unit calibrated.","YES","745","2.4","YES","SPN-CR-001","M01_Feb_2019_OP04_000","bosch_real_fault"
"CMP-2019-1006","CLOSED","P2-HIGH","13 Aug 2019 12:16","17 Aug 2019 19:16","80","CUST-007","Rio Grande Manufacturing","Carlos Mendez","(505) 555-0723","cmendez@riograndemfg.com","Albuquerque, NM","SILVER","M01","EIQ-M01-2019-7900","VMC-3000","OP05","Thread Tapping","M01_Aug_2019_OP05_000","spindle_bearing_fault","SPN-MJ-001","4.75","Spindle Bearing Fault","Bearing race or rolling element fatigue defect","303.0","143.24","1047.25","7.65","4.538","Emergency call from Carlos Mendez at Rio Grande Manufacturing. M01 stopped mid-production with CRITICAL alarm SPN-MJ-001. Unusual noise from spindle described as 'grinding then a bang'. Machine auto-stopped. Vibration sensor reading P004 = 7.65 mm/s at time of fault. Machine has been running 24/7 for past 6 weeks without scheduled PM. Customer needs machine back online within 48 hours — aerospace delivery deadline. Serial: EIQ-M01-2019-7900.","Chen, L.","Mbeki, J. (FE-03)","Remote diagnostic: retrieved vibration data for run_id M01_Aug_2019_OP05_000. Spindle bearing vibration P004 = 7.65 mm/s (ISO Zone D). Kurtosis P064 = 4.5 — defect frequency component confirmed at BPFO = 183.2 Hz (consistent with outer race spall on 7014 bearing). Machine hours since last grease service: 3566h (OEM limit: 4,000h). Bearing replacement recommended. Error code SPN-MJ-001 confirmed CRITICAL/MAJOR — correct action taken by PLC.","Spindle cooling fan motor replaced (PN: EIQ-SPN-FAN-200L). Air filter cleaned — found 60% blocked. Post-repair spindle temperature P003 running at 61°C vs. 87°C pre-repair. Machine re-qualified. Advised customer to add fan inspection to monthly PM checklist. No charge under PLATINUM service contract.","YES","RMA-72884","SPINDLE_REBUILD","Spindle cartridge sent to depot for bearing replacement and runout check","Rebuilt spindle returned. New bearing set installed, preload set to spec, runout verified <0.003mm. Returned to customer.","NO","483","3.8","YES","SPN-MJ-001","M01_Aug_2019_OP05_000","bosch_real_fault"
"CMP-2019-1007","CLOSED","P2-HIGH","02 Feb 2019 19:00","08 Feb 2019 12:00","25","CUST-008","Atlantic Precision Group","Jennifer Walsh","(617) 555-0834","jwalsh@atlanticprecision.com","Boston, MA","GOLD","M01","EIQ-M01-2019-4102","VMC-3000","OP05","Thread Tapping","M01_Feb_2019_OP05_000","spindle_bearing_fault","SPN-MJ-002","4.672","Spindle Bearing Fault","Bearing race or rolling element fatigue defect","339.28","131.41","1049.0","6.679","4.122","Emergency call from Jennifer Walsh at Atlantic Precision Group. M01 stopped mid-production with CRITICAL alarm SPN-MJ-002. Unusual noise from spindle described as 'grinding then a bang'. Machine auto-stopped. Vibration sensor reading P004 = 6.68 mm/s at time of fault. Machine has been running 24/7 for past 6 weeks without scheduled PM. Customer needs machine back online within 48 hours — aerospace delivery deadline. Serial: EIQ-M01-2019-4102.","Rodriguez, M.","Mbeki, J. (FE-03)","Remote diagnostic: retrieved vibration data for run_id M01_Feb_2019_OP05_000. Spindle bearing vibration P004 = 6.68 mm/s (ISO Zone B). Kurtosis P064 = 4.1 — defect frequency component confirmed at BPFO = 96.0 Hz (consistent with outer race spall on 7014 bearing). Machine hours since last grease service: 4183h (OEM limit: 4,000h). Bearing replacement recommended. Error code SPN-MJ-002 confirmed CRITICAL/MAJOR — correct action taken by PLC.","Spindle bearing set replaced on-site by Mbeki, J. (FE-03). Parts used: 2× 7014 CDBP4 angular contact bearings (PN: EIQ-SPN-BRG-7014, batch BRG-40911), 1× NU1014 rear bearing (PN: EIQ-SPN-BRG-NU1014). Bearings installed with correct preload per EIQ-PROC-SPN-001. Spindle warmed up per SPD-WARMUP-001 (15 min). Acceptance vibration test run: P004 = 2.20 mm/s (Zone A — pass). Machine returned to production. Labour: 3.6 h. Parts charged to customer (bearing set outside warranty — 33 months in service).","YES","RMA-28268","VALVE_WARRANTY","Hydraulic relief valve returned — premature internal seat wear","Valve inspected — seat wear confirmed at 11 months in service. Within 12-month warranty. Replacement valve issued.","YES","740","3.6","NO","SPN-MJ-002","M01_Feb_2019_OP05_000","bosch_real_fault"
"CMP-2019-1008","CLOSED","P2-HIGH","17 Feb 2019 12:23","19 Feb 2019 00:23","83","CUST-009","Heartland CNC Services","Tom Hartley","(515) 555-0912","thartley@heartlandcnc.com","Des Moines, IA","STANDARD","M01","EIQ-M01-2019-2794","VMC-3000","OP05","Thread Tapping","M01_Feb_2019_OP05_001","spindle_bearing_fault","SPN-MJ-001","4.418","Spindle Bearing Fault","Bearing race or rolling element fatigue defect","339.26","124.14","1049.79","6.449","4.084","Heartland CNC Services reporting M01 spindle temperature P003 running high at 6.45°C. Spindle cooling fan appears to be making intermittent noise — possibly bearing in fan motor. Alarm SPN-MJ-001 active. Customer asking if they can continue running at reduced spindle speed while awaiting parts. Current part schedule is critical path.","Okafor, D.","Jackson, T. (FE-07)","Investigation by Okafor, D.. Pulled Bosch CISS historical data for M01 OP05. Crest factor trend showed gradual increase from 3.2 to 6.4 over 90 days before alarm. Kurtosis crossed early-warning threshold (8.0) approximately 17 days before customer called — alarm SPN-SR-003 was generated but apparently not actioned by customer maintenance team. Investigation highlights need for customer to review alarm log regularly. Machine performed as designed.","Spindle bearing set replaced on-site by Jackson, T. (FE-07). Parts used: 2× 7014 CDBP4 angular contact bearings (PN: EIQ-SPN-BRG-7014, batch BRG-82282), 1× NU1014 rear bearing (PN: EIQ-SPN-BRG-NU1014). Bearings installed with correct preload per EIQ-PROC-SPN-001. Spindle warmed up per SPD-WARMUP-001 (15 min). Acceptance vibration test run: P004 = 1.78 mm/s (Zone A — pass). Machine returned to production. Labour: 6.2 h. Parts charged to customer (bearing set outside warranty — 33 months in service).","YES","RMA-67622","SENSOR_WARRANTY","Bosch CISS accelerometer suspected fault — reading zero on Z-axis","Sensor tested at calibration lab. Confirmed Z-axis MEMS element failure. Replaced under manufacturer warranty. New unit calibrated.","YES","699","6.2","YES","SPN-MJ-001","M01_Feb_2019_OP05_001","bosch_real_fault"
"CMP-2021-1009","CLOSED","P1-CRITICAL","14 Feb 2021 08:42","18 Feb 2021 03:42","24","CUST-010","Mountain West Machining LLC","Janet Fujimoto","(303) 555-1034","jfujimoto@mwmach.com","Denver, CO","SILVER","M01","EIQ-M01-2021-4445","VMC-3000","OP05","Thread Tapping","M01_Feb_2021_OP05_000","spindle_bearing_fault","SPN-CR-001","4.129","Spindle Bearing Fault","Bearing race or rolling element fatigue defect","331.98","177.7","1026.62","6.425","3.632","Emergency call from Janet Fujimoto at Mountain West Machining LLC. M01 stopped mid-production with CRITICAL alarm SPN-CR-001. Unusual noise from spindle described as 'grinding then a bang'. Machine auto-stopped. Vibration sensor reading P004 = 6.43 mm/s at time of fault. Machine has been running 24/7 for past 6 weeks without scheduled PM. Customer needs machine back online within 48 hours — aerospace delivery deadline. Serial: EIQ-M01-2021-4445.","Kumar, R.","Torres, R. (FE-09)","Investigation by Kumar, R.. Pulled Bosch CISS historical data for M01 OP05. Crest factor trend showed gradual increase from 3.2 to 6.4 over 90 days before alarm. Kurtosis crossed early-warning threshold (8.0) approximately 6 days before customer called — alarm SPN-SR-003 was generated but apparently not actioned by customer maintenance team. Investigation highlights need for customer to review alarm log regularly. Machine performed as designed.","Spindle bearing set replaced on-site by Torres, R. (FE-09). Parts used: 2× 7014 CDBP4 angular contact bearings (PN: EIQ-SPN-BRG-7014, batch BRG-51306), 1× NU1014 rear bearing (PN: EIQ-SPN-BRG-NU1014). Bearings installed with correct preload per EIQ-PROC-SPN-001. Spindle warmed up per SPD-WARMUP-001 (15 min). Acceptance vibration test run: P004 = 1.01 mm/s (Zone A — pass). Machine returned to production. Labour: 2.3 h. Parts charged to customer (bearing set outside warranty — 39 months in service).","YES","RMA-69513","VALVE_WARRANTY","Hydraulic relief valve returned — premature internal seat wear","Valve inspected — seat wear confirmed at 11 months in service. Within 12-month warranty. Replacement valve issued.","YES","195","2.3","YES","SPN-CR-001","M01_Feb_2021_OP05_000","bosch_real_fault"
